,oracion,gold,error
0,un hombre camina,si,-
1,un hombre caminan,no,No tree
2,un hombre mira a un hombre,si,-
3,un hombre mira a un hombres,no,No tree
4,un hombre mira a un mujer,no,No tree
5,un hombre mira a un mujeres,no,No tree
6,un hombre mira a unos hombre,no,No tree
7,un hombre mira a unos hombres,si,-
8,un hombre mira a unos mujer,no,No tree
9,un hombre mira a unos mujeres,no,No tree
10,un hombre mira a una hombre,no,No tree
11,un hombre mira a una hombres,no,No tree
12,un hombre mira a una mujer,si,-
13,un hombre mira a una mujeres,no,No tree
14,un hombre mira a unas hombre,no,No tree
15,un hombre mira a unas hombres,no,No tree
16,un hombre mira a unas mujer,no,No tree
17,un hombre mira a unas mujeres,si,-
18,un hombre mira a el hombre,si,-
19,un hombre mira a el hombres,no,No tree
20,un hombre mira a el mujer,no,No tree
21,un hombre mira a el mujeres,no,No tree
22,un hombre mira a los hombre,no,No tree
23,un hombre mira a los hombres,si,-
24,un hombre mira a los mujer,no,No tree
25,un hombre mira a los mujeres,no,No tree
26,un hombre mira a la hombre,no,No tree
27,un hombre mira a la hombres,no,No tree
28,un hombre mira a la mujer,si,-
29,un hombre mira a la mujeres,no,No tree
30,un hombre mira a las hombre,no,No tree
31,un hombre mira a las hombres,no,No tree
32,un hombre mira a las mujer,no,No tree
33,un hombre mira a las mujeres,si,-
34,un hombre miran a un hombre,no,No tree
35,un hombre miran a un hombres,no,No tree
36,un hombre miran a un mujer,no,No tree
37,un hombre miran a un mujeres,no,No tree
38,un hombre miran a unos hombre,no,No tree
39,un hombre miran a unos hombres,no,No tree
40,un hombre miran a unos mujer,no,No tree
41,un hombre miran a unos mujeres,no,No tree
42,un hombre miran a una hombre,no,No tree
43,un hombre miran a una hombres,no,No tree
44,un hombre miran a una mujer,no,No tree
45,un hombre miran a una mujeres,no,No tree
46,un hombre miran a unas hombre,no,No tree
47,un hombre miran a unas hombres,no,No tree
48,un hombre miran a unas mujer,no,No tree
49,un hombre miran a unas mujeres,no,No tree
50,un hombre miran a el hombre,no,No tree
51,un hombre miran a el hombres,no,No tree
52,un hombre miran a el mujer,no,No tree
53,un hombre miran a el mujeres,no,No tree
54,un hombre miran a los hombre,no,No tree
55,un hombre miran a los hombres,no,No tree
56,un hombre miran a los mujer,no,No tree
57,un hombre miran a los mujeres,no,No tree
58,un hombre miran a la hombre,no,No tree
59,un hombre miran a la hombres,no,No tree
60,un hombre miran a la mujer,no,No tree
61,un hombre miran a la mujeres,no,No tree
62,un hombre miran a las hombre,no,No tree
63,un hombre miran a las hombres,no,No tree
64,un hombre miran a las mujer,no,No tree
65,un hombre miran a las mujeres,no,No tree
66,un hombres camina,no,No tree
67,un hombres caminan,no,No tree
68,un hombres mira a un hombre,no,No tree
69,un hombres mira a un hombres,no,No tree
70,un hombres mira a un mujer,no,No tree
71,un hombres mira a un mujeres,no,No tree
72,un hombres mira a unos hombre,no,No tree
73,un hombres mira a unos hombres,no,No tree
74,un hombres mira a unos mujer,no,No tree
75,un hombres mira a unos mujeres,no,No tree
76,un hombres mira a una hombre,no,No tree
77,un hombres mira a una hombres,no,No tree
78,un hombres mira a una mujer,no,No tree
79,un hombres mira a una mujeres,no,No tree
80,un hombres mira a unas hombre,no,No tree
81,un hombres mira a unas hombres,no,No tree
82,un hombres mira a unas mujer,no,No tree
83,un hombres mira a unas mujeres,no,No tree
84,un hombres mira a el hombre,no,No tree
85,un hombres mira a el hombres,no,No tree
86,un hombres mira a el mujer,no,No tree
87,un hombres mira a el mujeres,no,No tree
88,un hombres mira a los hombre,no,No tree
89,un hombres mira a los hombres,no,No tree
90,un hombres mira a los mujer,no,No tree
91,un hombres mira a los mujeres,no,No tree
92,un hombres mira a la hombre,no,No tree
93,un hombres mira a la hombres,no,No tree
94,un hombres mira a la mujer,no,No tree
95,un hombres mira a la mujeres,no,No tree
96,un hombres mira a las hombre,no,No tree
97,un hombres mira a las hombres,no,No tree
98,un hombres mira a las mujer,no,No tree
99,un hombres mira a las mujeres,no,No tree
100,un hombres miran a un hombre,no,No tree
101,un hombres miran a un hombres,no,No tree
102,un hombres miran a un mujer,no,No tree
103,un hombres miran a un mujeres,no,No tree
104,un hombres miran a unos hombre,no,No tree
105,un hombres miran a unos hombres,no,No tree
106,un hombres miran a unos mujer,no,No tree
107,un hombres miran a unos mujeres,no,No tree
108,un hombres miran a una hombre,no,No tree
109,un hombres miran a una hombres,no,No tree
110,un hombres miran a una mujer,no,No tree
111,un hombres miran a una mujeres,no,No tree
112,un hombres miran a unas hombre,no,No tree
113,un hombres miran a unas hombres,no,No tree
114,un hombres miran a unas mujer,no,No tree
115,un hombres miran a unas mujeres,no,No tree
116,un hombres miran a el hombre,no,No tree
117,un hombres miran a el hombres,no,No tree
118,un hombres miran a el mujer,no,No tree
119,un hombres miran a el mujeres,no,No tree
120,un hombres miran a los hombre,no,No tree
121,un hombres miran a los hombres,no,No tree
122,un hombres miran a los mujer,no,No tree
123,un hombres miran a los mujeres,no,No tree
124,un hombres miran a la hombre,no,No tree
125,un hombres miran a la hombres,no,No tree
126,un hombres miran a la mujer,no,No tree
127,un hombres miran a la mujeres,no,No tree
128,un hombres miran a las hombre,no,No tree
129,un hombres miran a las hombres,no,No tree
130,un hombres miran a las mujer,no,No tree
131,un hombres miran a las mujeres,no,No tree
132,un mujer camina,no,No tree
133,un mujer caminan,no,No tree
134,un mujer mira a un hombre,no,No tree
135,un mujer mira a un hombres,no,No tree
136,un mujer mira a un mujer,no,No tree
137,un mujer mira a un mujeres,no,No tree
138,un mujer mira a unos hombre,no,No tree
139,un mujer mira a unos hombres,no,No tree
140,un mujer mira a unos mujer,no,No tree
141,un mujer mira a unos mujeres,no,No tree
142,un mujer mira a una hombre,no,No tree
143,un mujer mira a una hombres,no,No tree
144,un mujer mira a una mujer,no,No tree
145,un mujer mira a una mujeres,no,No tree
146,un mujer mira a unas hombre,no,No tree
147,un mujer mira a unas hombres,no,No tree
148,un mujer mira a unas mujer,no,No tree
149,un mujer mira a unas mujeres,no,No tree
150,un mujer mira a el hombre,no,No tree
151,un mujer mira a el hombres,no,No tree
152,un mujer mira a el mujer,no,No tree
153,un mujer mira a el mujeres,no,No tree
154,un mujer mira a los hombre,no,No tree
155,un mujer mira a los hombres,no,No tree
156,un mujer mira a los mujer,no,No tree
157,un mujer mira a los mujeres,no,No tree
158,un mujer mira a la hombre,no,No tree
159,un mujer mira a la hombres,no,No tree
160,un mujer mira a la mujer,no,No tree
161,un mujer mira a la mujeres,no,No tree
162,un mujer mira a las hombre,no,No tree
163,un mujer mira a las hombres,no,No tree
164,un mujer mira a las mujer,no,No tree
165,un mujer mira a las mujeres,no,No tree
166,un mujer miran a un hombre,no,No tree
167,un mujer miran a un hombres,no,No tree
168,un mujer miran a un mujer,no,No tree
169,un mujer miran a un mujeres,no,No tree
170,un mujer miran a unos hombre,no,No tree
171,un mujer miran a unos hombres,no,No tree
172,un mujer miran a unos mujer,no,No tree
173,un mujer miran a unos mujeres,no,No tree
174,un mujer miran a una hombre,no,No tree
175,un mujer miran a una hombres,no,No tree
176,un mujer miran a una mujer,no,No tree
177,un mujer miran a una mujeres,no,No tree
178,un mujer miran a unas hombre,no,No tree
179,un mujer miran a unas hombres,no,No tree
180,un mujer miran a unas mujer,no,No tree
181,un mujer miran a unas mujeres,no,No tree
182,un mujer miran a el hombre,no,No tree
183,un mujer miran a el hombres,no,No tree
184,un mujer miran a el mujer,no,No tree
185,un mujer miran a el mujeres,no,No tree
186,un mujer miran a los hombre,no,No tree
187,un mujer miran a los hombres,no,No tree
188,un mujer miran a los mujer,no,No tree
189,un mujer miran a los mujeres,no,No tree
190,un mujer miran a la hombre,no,No tree
191,un mujer miran a la hombres,no,No tree
192,un mujer miran a la mujer,no,No tree
193,un mujer miran a la mujeres,no,No tree
194,un mujer miran a las hombre,no,No tree
195,un mujer miran a las hombres,no,No tree
196,un mujer miran a las mujer,no,No tree
197,un mujer miran a las mujeres,no,No tree
198,un mujeres camina,no,No tree
199,un mujeres caminan,no,No tree
200,un mujeres mira a un hombre,no,No tree
201,un mujeres mira a un hombres,no,No tree
202,un mujeres mira a un mujer,no,No tree
203,un mujeres mira a un mujeres,no,No tree
204,un mujeres mira a unos hombre,no,No tree
205,un mujeres mira a unos hombres,no,No tree
206,un mujeres mira a unos mujer,no,No tree
207,un mujeres mira a unos mujeres,no,No tree
208,un mujeres mira a una hombre,no,No tree
209,un mujeres mira a una hombres,no,No tree
210,un mujeres mira a una mujer,no,No tree
211,un mujeres mira a una mujeres,no,No tree
212,un mujeres mira a unas hombre,no,No tree
213,un mujeres mira a unas hombres,no,No tree
214,un mujeres mira a unas mujer,no,No tree
215,un mujeres mira a unas mujeres,no,No tree
216,un mujeres mira a el hombre,no,No tree
217,un mujeres mira a el hombres,no,No tree
218,un mujeres mira a el mujer,no,No tree
219,un mujeres mira a el mujeres,no,No tree
220,un mujeres mira a los hombre,no,No tree
221,un mujeres mira a los hombres,no,No tree
222,un mujeres mira a los mujer,no,No tree
223,un mujeres mira a los mujeres,no,No tree
224,un mujeres mira a la hombre,no,No tree
225,un mujeres mira a la hombres,no,No tree
226,un mujeres mira a la mujer,no,No tree
227,un mujeres mira a la mujeres,no,No tree
228,un mujeres mira a las hombre,no,No tree
229,un mujeres mira a las hombres,no,No tree
230,un mujeres mira a las mujer,no,No tree
231,un mujeres mira a las mujeres,no,No tree
232,un mujeres miran a un hombre,no,No tree
233,un mujeres miran a un hombres,no,No tree
234,un mujeres miran a un mujer,no,No tree
235,un mujeres miran a un mujeres,no,No tree
236,un mujeres miran a unos hombre,no,No tree
237,un mujeres miran a unos hombres,no,No tree
238,un mujeres miran a unos mujer,no,No tree
239,un mujeres miran a unos mujeres,no,No tree
240,un mujeres miran a una hombre,no,No tree
241,un mujeres miran a una hombres,no,No tree
242,un mujeres miran a una mujer,no,No tree
243,un mujeres miran a una mujeres,no,No tree
244,un mujeres miran a unas hombre,no,No tree
245,un mujeres miran a unas hombres,no,No tree
246,un mujeres miran a unas mujer,no,No tree
247,un mujeres miran a unas mujeres,no,No tree
248,un mujeres miran a el hombre,no,No tree
249,un mujeres miran a el hombres,no,No tree
250,un mujeres miran a el mujer,no,No tree
251,un mujeres miran a el mujeres,no,No tree
252,un mujeres miran a los hombre,no,No tree
253,un mujeres miran a los hombres,no,No tree
254,un mujeres miran a los mujer,no,No tree
255,un mujeres miran a los mujeres,no,No tree
256,un mujeres miran a la hombre,no,No tree
257,un mujeres miran a la hombres,no,No tree
258,un mujeres miran a la mujer,no,No tree
259,un mujeres miran a la mujeres,no,No tree
260,un mujeres miran a las hombre,no,No tree
261,un mujeres miran a las hombres,no,No tree
262,un mujeres miran a las mujer,no,No tree
263,un mujeres miran a las mujeres,no,No tree
264,unos hombre camina,no,No tree
265,unos hombre caminan,no,No tree
266,unos hombre mira a un hombre,no,No tree
267,unos hombre mira a un hombres,no,No tree
268,unos hombre mira a un mujer,no,No tree
269,unos hombre mira a un mujeres,no,No tree
270,unos hombre mira a unos hombre,no,No tree
271,unos hombre mira a unos hombres,no,No tree
272,unos hombre mira a unos mujer,no,No tree
273,unos hombre mira a unos mujeres,no,No tree
274,unos hombre mira a una hombre,no,No tree
275,unos hombre mira a una hombres,no,No tree
276,unos hombre mira a una mujer,no,No tree
277,unos hombre mira a una mujeres,no,No tree
278,unos hombre mira a unas hombre,no,No tree
279,unos hombre mira a unas hombres,no,No tree
280,unos hombre mira a unas mujer,no,No tree
281,unos hombre mira a unas mujeres,no,No tree
282,unos hombre mira a el hombre,no,No tree
283,unos hombre mira a el hombres,no,No tree
284,unos hombre mira a el mujer,no,No tree
285,unos hombre mira a el mujeres,no,No tree
286,unos hombre mira a los hombre,no,No tree
287,unos hombre mira a los hombres,no,No tree
288,unos hombre mira a los mujer,no,No tree
289,unos hombre mira a los mujeres,no,No tree
290,unos hombre mira a la hombre,no,No tree
291,unos hombre mira a la hombres,no,No tree
292,unos hombre mira a la mujer,no,No tree
293,unos hombre mira a la mujeres,no,No tree
294,unos hombre mira a las hombre,no,No tree
295,unos hombre mira a las hombres,no,No tree
296,unos hombre mira a las mujer,no,No tree
297,unos hombre mira a las mujeres,no,No tree
298,unos hombre miran a un hombre,no,No tree
299,unos hombre miran a un hombres,no,No tree
300,unos hombre miran a un mujer,no,No tree
301,unos hombre miran a un mujeres,no,No tree
302,unos hombre miran a unos hombre,no,No tree
303,unos hombre miran a unos hombres,no,No tree
304,unos hombre miran a unos mujer,no,No tree
305,unos hombre miran a unos mujeres,no,No tree
306,unos hombre miran a una hombre,no,No tree
307,unos hombre miran a una hombres,no,No tree
308,unos hombre miran a una mujer,no,No tree
309,unos hombre miran a una mujeres,no,No tree
310,unos hombre miran a unas hombre,no,No tree
311,unos hombre miran a unas hombres,no,No tree
312,unos hombre miran a unas mujer,no,No tree
313,unos hombre miran a unas mujeres,no,No tree
314,unos hombre miran a el hombre,no,No tree
315,unos hombre miran a el hombres,no,No tree
316,unos hombre miran a el mujer,no,No tree
317,unos hombre miran a el mujeres,no,No tree
318,unos hombre miran a los hombre,no,No tree
319,unos hombre miran a los hombres,no,No tree
320,unos hombre miran a los mujer,no,No tree
321,unos hombre miran a los mujeres,no,No tree
322,unos hombre miran a la hombre,no,No tree
323,unos hombre miran a la hombres,no,No tree
324,unos hombre miran a la mujer,no,No tree
325,unos hombre miran a la mujeres,no,No tree
326,unos hombre miran a las hombre,no,No tree
327,unos hombre miran a las hombres,no,No tree
328,unos hombre miran a las mujer,no,No tree
329,unos hombre miran a las mujeres,no,No tree
330,unos hombres camina,no,No tree
331,unos hombres caminan,si,-
332,unos hombres mira a un hombre,no,No tree
333,unos hombres mira a un hombres,no,No tree
334,unos hombres mira a un mujer,no,No tree
335,unos hombres mira a un mujeres,no,No tree
336,unos hombres mira a unos hombre,no,No tree
337,unos hombres mira a unos hombres,no,No tree
338,unos hombres mira a unos mujer,no,No tree
339,unos hombres mira a unos mujeres,no,No tree
340,unos hombres mira a una hombre,no,No tree
341,unos hombres mira a una hombres,no,No tree
342,unos hombres mira a una mujer,no,No tree
343,unos hombres mira a una mujeres,no,No tree
344,unos hombres mira a unas hombre,no,No tree
345,unos hombres mira a unas hombres,no,No tree
346,unos hombres mira a unas mujer,no,No tree
347,unos hombres mira a unas mujeres,no,No tree
348,unos hombres mira a el hombre,no,No tree
349,unos hombres mira a el hombres,no,No tree
350,unos hombres mira a el mujer,no,No tree
351,unos hombres mira a el mujeres,no,No tree
352,unos hombres mira a los hombre,no,No tree
353,unos hombres mira a los hombres,no,No tree
354,unos hombres mira a los mujer,no,No tree
355,unos hombres mira a los mujeres,no,No tree
356,unos hombres mira a la hombre,no,No tree
357,unos hombres mira a la hombres,no,No tree
358,unos hombres mira a la mujer,no,No tree
359,unos hombres mira a la mujeres,no,No tree
360,unos hombres mira a las hombre,no,No tree
361,unos hombres mira a las hombres,no,No tree
362,unos hombres mira a las mujer,no,No tree
363,unos hombres mira a las mujeres,no,No tree
364,unos hombres miran a un hombre,si,-
365,unos hombres miran a un hombres,no,No tree
366,unos hombres miran a un mujer,no,No tree
367,unos hombres miran a un mujeres,no,No tree
368,unos hombres miran a unos hombre,no,No tree
369,unos hombres miran a unos hombres,si,-
370,unos hombres miran a unos mujer,no,No tree
371,unos hombres miran a unos mujeres,no,No tree
372,unos hombres miran a una hombre,no,No tree
373,unos hombres miran a una hombres,no,No tree
374,unos hombres miran a una mujer,si,-
375,unos hombres miran a una mujeres,no,No tree
376,unos hombres miran a unas hombre,no,No tree
377,unos hombres miran a unas hombres,no,No tree
378,unos hombres miran a unas mujer,no,No tree
379,unos hombres miran a unas mujeres,si,-
380,unos hombres miran a el hombre,si,-
381,unos hombres miran a el hombres,no,No tree
382,unos hombres miran a el mujer,no,No tree
383,unos hombres miran a el mujeres,no,No tree
384,unos hombres miran a los hombre,no,No tree
385,unos hombres miran a los hombres,si,-
386,unos hombres miran a los mujer,no,No tree
387,unos hombres miran a los mujeres,no,No tree
388,unos hombres miran a la hombre,no,No tree
389,unos hombres miran a la hombres,no,No tree
390,unos hombres miran a la mujer,si,-
391,unos hombres miran a la mujeres,no,No tree
392,unos hombres miran a las hombre,no,No tree
393,unos hombres miran a las hombres,no,No tree
394,unos hombres miran a las mujer,no,No tree
395,unos hombres miran a las mujeres,si,-
396,unos mujer camina,no,No tree
397,unos mujer caminan,no,No tree
398,unos mujer mira a un hombre,no,No tree
399,unos mujer mira a un hombres,no,No tree
400,unos mujer mira a un mujer,no,No tree
401,unos mujer mira a un mujeres,no,No tree
402,unos mujer mira a unos hombre,no,No tree
403,unos mujer mira a unos hombres,no,No tree
404,unos mujer mira a unos mujer,no,No tree
405,unos mujer mira a unos mujeres,no,No tree
406,unos mujer mira a una hombre,no,No tree
407,unos mujer mira a una hombres,no,No tree
408,unos mujer mira a una mujer,no,No tree
409,unos mujer mira a una mujeres,no,No tree
410,unos mujer mira a unas hombre,no,No tree
411,unos mujer mira a unas hombres,no,No tree
412,unos mujer mira a unas mujer,no,No tree
413,unos mujer mira a unas mujeres,no,No tree
414,unos mujer mira a el hombre,no,No tree
415,unos mujer mira a el hombres,no,No tree
416,unos mujer mira a el mujer,no,No tree
417,unos mujer mira a el mujeres,no,No tree
418,unos mujer mira a los hombre,no,No tree
419,unos mujer mira a los hombres,no,No tree
420,unos mujer mira a los mujer,no,No tree
421,unos mujer mira a los mujeres,no,No tree
422,unos mujer mira a la hombre,no,No tree
423,unos mujer mira a la hombres,no,No tree
424,unos mujer mira a la mujer,no,No tree
425,unos mujer mira a la mujeres,no,No tree
426,unos mujer mira a las hombre,no,No tree
427,unos mujer mira a las hombres,no,No tree
428,unos mujer mira a las mujer,no,No tree
429,unos mujer mira a las mujeres,no,No tree
430,unos mujer miran a un hombre,no,No tree
431,unos mujer miran a un hombres,no,No tree
432,unos mujer miran a un mujer,no,No tree
433,unos mujer miran a un mujeres,no,No tree
434,unos mujer miran a unos hombre,no,No tree
435,unos mujer miran a unos hombres,no,No tree
436,unos mujer miran a unos mujer,no,No tree
437,unos mujer miran a unos mujeres,no,No tree
438,unos mujer miran a una hombre,no,No tree
439,unos mujer miran a una hombres,no,No tree
440,unos mujer miran a una mujer,no,No tree
441,unos mujer miran a una mujeres,no,No tree
442,unos mujer miran a unas hombre,no,No tree
443,unos mujer miran a unas hombres,no,No tree
444,unos mujer miran a unas mujer,no,No tree
445,unos mujer miran a unas mujeres,no,No tree
446,unos mujer miran a el hombre,no,No tree
447,unos mujer miran a el hombres,no,No tree
448,unos mujer miran a el mujer,no,No tree
449,unos mujer miran a el mujeres,no,No tree
450,unos mujer miran a los hombre,no,No tree
451,unos mujer miran a los hombres,no,No tree
452,unos mujer miran a los mujer,no,No tree
453,unos mujer miran a los mujeres,no,No tree
454,unos mujer miran a la hombre,no,No tree
455,unos mujer miran a la hombres,no,No tree
456,unos mujer miran a la mujer,no,No tree
457,unos mujer miran a la mujeres,no,No tree
458,unos mujer miran a las hombre,no,No tree
459,unos mujer miran a las hombres,no,No tree
460,unos mujer miran a las mujer,no,No tree
461,unos mujer miran a las mujeres,no,No tree
462,unos mujeres camina,no,No tree
463,unos mujeres caminan,no,No tree
464,unos mujeres mira a un hombre,no,No tree
465,unos mujeres mira a un hombres,no,No tree
466,unos mujeres mira a un mujer,no,No tree
467,unos mujeres mira a un mujeres,no,No tree
468,unos mujeres mira a unos hombre,no,No tree
469,unos mujeres mira a unos hombres,no,No tree
470,unos mujeres mira a unos mujer,no,No tree
471,unos mujeres mira a unos mujeres,no,No tree
472,unos mujeres mira a una hombre,no,No tree
473,unos mujeres mira a una hombres,no,No tree
474,unos mujeres mira a una mujer,no,No tree
475,unos mujeres mira a una mujeres,no,No tree
476,unos mujeres mira a unas hombre,no,No tree
477,unos mujeres mira a unas hombres,no,No tree
478,unos mujeres mira a unas mujer,no,No tree
479,unos mujeres mira a unas mujeres,no,No tree
480,unos mujeres mira a el hombre,no,No tree
481,unos mujeres mira a el hombres,no,No tree
482,unos mujeres mira a el mujer,no,No tree
483,unos mujeres mira a el mujeres,no,No tree
484,unos mujeres mira a los hombre,no,No tree
485,unos mujeres mira a los hombres,no,No tree
486,unos mujeres mira a los mujer,no,No tree
487,unos mujeres mira a los mujeres,no,No tree
488,unos mujeres mira a la hombre,no,No tree
489,unos mujeres mira a la hombres,no,No tree
490,unos mujeres mira a la mujer,no,No tree
491,unos mujeres mira a la mujeres,no,No tree
492,unos mujeres mira a las hombre,no,No tree
493,unos mujeres mira a las hombres,no,No tree
494,unos mujeres mira a las mujer,no,No tree
495,unos mujeres mira a las mujeres,no,No tree
496,unos mujeres miran a un hombre,no,No tree
497,unos mujeres miran a un hombres,no,No tree
498,unos mujeres miran a un mujer,no,No tree
499,unos mujeres miran a un mujeres,no,No tree
500,unos mujeres miran a unos hombre,no,No tree
501,unos mujeres miran a unos hombres,no,No tree
502,unos mujeres miran a unos mujer,no,No tree
503,unos mujeres miran a unos mujeres,no,No tree
504,unos mujeres miran a una hombre,no,No tree
505,unos mujeres miran a una hombres,no,No tree
506,unos mujeres miran a una mujer,no,No tree
507,unos mujeres miran a una mujeres,no,No tree
508,unos mujeres miran a unas hombre,no,No tree
509,unos mujeres miran a unas hombres,no,No tree
510,unos mujeres miran a unas mujer,no,No tree
511,unos mujeres miran a unas mujeres,no,No tree
512,unos mujeres miran a el hombre,no,No tree
513,unos mujeres miran a el hombres,no,No tree
514,unos mujeres miran a el mujer,no,No tree
515,unos mujeres miran a el mujeres,no,No tree
516,unos mujeres miran a los hombre,no,No tree
517,unos mujeres miran a los hombres,no,No tree
518,unos mujeres miran a los mujer,no,No tree
519,unos mujeres miran a los mujeres,no,No tree
520,unos mujeres miran a la hombre,no,No tree
521,unos mujeres miran a la hombres,no,No tree
522,unos mujeres miran a la mujer,no,No tree
523,unos mujeres miran a la mujeres,no,No tree
524,unos mujeres miran a las hombre,no,No tree
525,unos mujeres miran a las hombres,no,No tree
526,unos mujeres miran a las mujer,no,No tree
527,unos mujeres miran a las mujeres,no,No tree
528,una hombre camina,no,No tree
529,una hombre caminan,no,No tree
530,una hombre mira a un hombre,no,No tree
531,una hombre mira a un hombres,no,No tree
532,una hombre mira a un mujer,no,No tree
533,una hombre mira a un mujeres,no,No tree
