,oracion,gold,error
1585,la hombre caminan,no,No tree
1586,la hombre mira a un hombre,no,No tree
1587,la hombre mira a un hombres,no,No tree
1588,la hombre mira a un mujer,no,No tree
1589,la hombre mira a un mujeres,no,No tree
1590,la hombre mira a unos hombre,no,No tree
1591,la hombre mira a unos hombres,no,No tree
1592,la hombre mira a unos mujer,no,No tree
1593,la hombre mira a unos mujeres,no,No tree
1594,la hombre mira a una hombre,no,No tree
1595,la hombre mira a una hombres,no,No tree
1596,la hombre mira a una mujer,no,No tree
1597,la hombre mira a una mujeres,no,No tree
1598,la hombre mira a unas hombre,no,No tree
1599,la hombre mira a unas hombres,no,No tree
1600,la hombre mira a unas mujer,no,No tree
1601,la hombre mira a unas mujeres,no,No tree
1602,la hombre mira a el hombre,no,No tree
1603,la hombre mira a el hombres,no,No tree
1604,la hombre mira a el mujer,no,No tree
1605,la hombre mira a el mujeres,no,No tree
1606,la hombre mira a los hombre,no,No tree
1607,la hombre mira a los hombres,no,No tree
1608,la hombre mira a los mujer,no,No tree
1609,la hombre mira a los mujeres,no,No tree
1610,la hombre mira a la hombre,no,No tree
1611,la hombre mira a la hombres,no,No tree
1612,la hombre mira a la mujer,no,No tree
1613,la hombre mira a la mujeres,no,No tree
1614,la hombre mira a las hombre,no,No tree
1615,la hombre mira a las hombres,no,No tree
1616,la hombre mira a las mujer,no,No tree
1617,la hombre mira a las mujeres,no,No tree
1618,la hombre miran a un hombre,no,No tree
1619,la hombre miran a un hombres,no,No tree
1620,la hombre miran a un mujer,no,No tree
1621,la hombre miran a un mujeres,no,No tree
1622,la hombre miran a unos hombre,no,No tree
1623,la hombre miran a unos hombres,no,No tree
1624,la hombre miran a unos mujer,no,No tree
1625,la hombre miran a unos mujeres,no,No tree
1626,la hombre miran a una hombre,no,No tree
1627,la hombre miran a una hombres,no,No tree
1628,la hombre miran a una mujer,no,No tree
1629,la hombre miran a una mujeres,no,No tree
1630,la hombre miran a unas hombre,no,No tree
1631,la hombre miran a unas hombres,no,No tree
1632,la hombre miran a unas mujer,no,No tree
1633,la hombre miran a unas mujeres,no,No tree
1634,la hombre miran a el hombre,no,No tree
1635,la hombre miran a el hombres,no,No tree
1636,la hombre miran a el mujer,no,No tree
1637,la hombre miran a el mujeres,no,No tree
1638,la hombre miran a los hombre,no,No tree
1639,la hombre miran a los hombres,no,No tree
1640,la hombre miran a los mujer,no,No tree
1641,la hombre miran a los mujeres,no,No tree
1642,la hombre miran a la hombre,no,No tree
1643,la hombre miran a la hombres,no,No tree
1644,la hombre miran a la mujer,no,No tree
1645,la hombre miran a la mujeres,no,No tree
1646,la hombre miran a las hombre,no,No tree
1647,la hombre miran a las hombres,no,No tree
1648,la hombre miran a las mujer,no,No tree
1649,la hombre miran a las mujeres,no,No tree
1650,la hombres camina,no,No tree
1651,la hombres caminan,no,No tree
1652,la hombres mira a un hombre,no,No tree
1653,la hombres mira a un hombres,no,No tree
1654,la hombres mira a un mujer,no,No tree
1655,la hombres mira a un mujeres,no,No tree
1656,la hombres mira a unos hombre,no,No tree
1657,la hombres mira a unos hombres,no,No tree
1658,la hombres mira a unos mujer,no,No tree
1659,la hombres mira a unos mujeres,no,No tree
1660,la hombres mira a una hombre,no,No tree
1661,la hombres mira a una hombres,no,No tree
1662,la hombres mira a una mujer,no,No tree
1663,la hombres mira a una mujeres,no,No tree
1664,la hombres mira a unas hombre,no,No tree
1665,la hombres mira a unas hombres,no,No tree
1666,la hombres mira a unas mujer,no,No tree
1667,la hombres mira a unas mujeres,no,No tree
1668,la hombres mira a el hombre,no,No tree
1669,la hombres mira a el hombres,no,No tree
1670,la hombres mira a el mujer,no,No tree
1671,la hombres mira a el mujeres,no,No tree
1672,la hombres mira a los hombre,no,No tree
1673,la hombres mira a los hombres,no,No tree
1674,la hombres mira a los mujer,no,No tree
1675,la hombres mira a los mujeres,no,No tree
1676,la hombres mira a la hombre,no,No tree
1677,la hombres mira a la hombres,no,No tree
1678,la hombres mira a la mujer,no,No tree
1679,la hombres mira a la mujeres,no,No tree
1680,la hombres mira a las hombre,no,No tree
1681,la hombres mira a las hombres,no,No tree
1682,la hombres mira a las mujer,no,No tree
1683,la hombres mira a las mujeres,no,No tree
1684,la hombres miran a un hombre,no,No tree
1685,la hombres miran a un hombres,no,No tree
1686,la hombres miran a un mujer,no,No tree
1687,la hombres miran a un mujeres,no,No tree
1688,la hombres miran a unos hombre,no,No tree
1689,la hombres miran a unos hombres,no,No tree
1690,la hombres miran a unos mujer,no,No tree
1691,la hombres miran a unos mujeres,no,No tree
1692,la hombres miran a una hombre,no,No tree
1693,la hombres miran a una hombres,no,No tree
1694,la hombres miran a una mujer,no,No tree
1695,la hombres miran a una mujeres,no,No tree
1696,la hombres miran a unas hombre,no,No tree
1697,la hombres miran a unas hombres,no,No tree
1698,la hombres miran a unas mujer,no,No tree
1699,la hombres miran a unas mujeres,no,No tree
1700,la hombres miran a el hombre,no,No tree
1701,la hombres miran a el hombres,no,No tree
1702,la hombres miran a el mujer,no,No tree
1703,la hombres miran a el mujeres,no,No tree
1704,la hombres miran a los hombre,no,No tree
1705,la hombres miran a los hombres,no,No tree
1706,la hombres miran a los mujer,no,No tree
1707,la hombres miran a los mujeres,no,No tree
1708,la hombres miran a la hombre,no,No tree
1709,la hombres miran a la hombres,no,No tree
1710,la hombres miran a la mujer,no,No tree
1711,la hombres miran a la mujeres,no,No tree
1712,la hombres miran a las hombre,no,No tree
1713,la hombres miran a las hombres,no,No tree
1714,la hombres miran a las mujer,no,No tree
1715,la hombres miran a las mujeres,no,No tree
1716,la mujer camina,si,-
1717,la mujer caminan,no,No tree
1718,la mujer mira a un hombre,si,-
1719,la mujer mira a un hombres,no,No tree
1720,la mujer mira a un mujer,no,No tree
1721,la mujer mira a un mujeres,no,No tree
1722,la mujer mira a unos hombre,no,No tree
1723,la mujer mira a unos hombres,si,-
1724,la mujer mira a unos mujer,no,No tree
1725,la mujer mira a unos mujeres,no,No tree
1726,la mujer mira a una hombre,no,No tree
1727,la mujer mira a una hombres,no,No tree
1728,la mujer mira a una mujer,si,-
1729,la mujer mira a una mujeres,no,No tree
1730,la mujer mira a unas hombre,no,No tree
1731,la mujer mira a unas hombres,no,No tree
1732,la mujer mira a unas mujer,no,No tree
1733,la mujer mira a unas mujeres,si,-
1734,la mujer mira a el hombre,si,-
1735,la mujer mira a el hombres,no,No tree
1736,la mujer mira a el mujer,no,No tree
1737,la mujer mira a el mujeres,no,No tree
1738,la mujer mira a los hombre,no,No tree
1739,la mujer mira a los hombres,si,-
1740,la mujer mira a los mujer,no,No tree
1741,la mujer mira a los mujeres,no,No tree
1742,la mujer mira a la hombre,no,No tree
1743,la mujer mira a la hombres,no,No tree
1744,la mujer mira a la mujer,si,-
1745,la mujer mira a la mujeres,no,No tree
1746,la mujer mira a las hombre,no,No tree
1747,la mujer mira a las hombres,no,No tree
1748,la mujer mira a las mujer,no,No tree
1749,la mujer mira a las mujeres,si,-
1750,la mujer miran a un hombre,no,No tree
1751,la mujer miran a un hombres,no,No tree
1752,la mujer miran a un mujer,no,No tree
1753,la mujer miran a un mujeres,no,No tree
1754,la mujer miran a unos hombre,no,No tree
1755,la mujer miran a unos hombres,no,No tree
1756,la mujer miran a unos mujer,no,No tree
1757,la mujer miran a unos mujeres,no,No tree
1758,la mujer miran a una hombre,no,No tree
1759,la mujer miran a una hombres,no,No tree
1760,la mujer miran a una mujer,no,No tree
1761,la mujer miran a una mujeres,no,No tree
1762,la mujer miran a unas hombre,no,No tree
1763,la mujer miran a unas hombres,no,No tree
1764,la mujer miran a unas mujer,no,No tree
1765,la mujer miran a unas mujeres,no,No tree
1766,la mujer miran a el hombre,no,No tree
1767,la mujer miran a el hombres,no,No tree
1768,la mujer miran a el mujer,no,No tree
1769,la mujer miran a el mujeres,no,No tree
1770,la mujer miran a los hombre,no,No tree
1771,la mujer miran a los hombres,no,No tree
1772,la mujer miran a los mujer,no,No tree
1773,la mujer miran a los mujeres,no,No tree
1774,la mujer miran a la hombre,no,No tree
1775,la mujer miran a la hombres,no,No tree
1776,la mujer miran a la mujer,no,No tree
1777,la mujer miran a la mujeres,no,No tree
1778,la mujer miran a las hombre,no,No tree
1779,la mujer miran a las hombres,no,No tree
1780,la mujer miran a las mujer,no,No tree
1781,la mujer miran a las mujeres,no,No tree
1782,la mujeres camina,no,No tree
1783,la mujeres caminan,no,No tree
1784,la mujeres mira a un hombre,no,No tree
1785,la mujeres mira a un hombres,no,No tree
1786,la mujeres mira a un mujer,no,No tree
1787,la mujeres mira a un mujeres,no,No tree
1788,la mujeres mira a unos hombre,no,No tree
1789,la mujeres mira a unos hombres,no,No tree
1790,la mujeres mira a unos mujer,no,No tree
1791,la mujeres mira a unos mujeres,no,No tree
1792,la mujeres mira a una hombre,no,No tree
1793,la mujeres mira a una hombres,no,No tree
1794,la mujeres mira a una mujer,no,No tree
1795,la mujeres mira a una mujeres,no,No tree
1796,la mujeres mira a unas hombre,no,No tree
1797,la mujeres mira a unas hombres,no,No tree
1798,la mujeres mira a unas mujer,no,No tree
1799,la mujeres mira a unas mujeres,no,No tree
1800,la mujeres mira a el hombre,no,No tree
1801,la mujeres mira a el hombres,no,No tree
1802,la mujeres mira a el mujer,no,No tree
1803,la mujeres mira a el mujeres,no,No tree
1804,la mujeres mira a los hombre,no,No tree
1805,la mujeres mira a los hombres,no,No tree
1806,la mujeres mira a los mujer,no,No tree
1807,la mujeres mira a los mujeres,no,No tree
1808,la mujeres mira a la hombre,no,No tree
1809,la mujeres mira a la hombres,no,No tree
1810,la mujeres mira a la mujer,no,No tree
1811,la mujeres mira a la mujeres,no,No tree
1812,la mujeres mira a las hombre,no,No tree
1813,la mujeres mira a las hombres,no,No tree
1814,la mujeres mira a las mujer,no,No tree
1815,la mujeres mira a las mujeres,no,No tree
1816,la mujeres miran a un hombre,no,No tree
1817,la mujeres miran a un hombres,no,No tree
1818,la mujeres miran a un mujer,no,No tree
1819,la mujeres miran a un mujeres,no,No tree
1820,la mujeres miran a unos hombre,no,No tree
1821,la mujeres miran a unos hombres,no,No tree
1822,la mujeres miran a unos mujer,no,No tree
1823,la mujeres miran a unos mujeres,no,No tree
1824,la mujeres miran a una hombre,no,No tree
1825,la mujeres miran a una hombres,no,No tree
1826,la mujeres miran a una mujer,no,No tree
1827,la mujeres miran a una mujeres,no,No tree
1828,la mujeres miran a unas hombre,no,No tree
1829,la mujeres miran a unas hombres,no,No tree
1830,la mujeres miran a unas mujer,no,No tree
1831,la mujeres miran a unas mujeres,no,No tree
1832,la mujeres miran a el hombre,no,No tree
1833,la mujeres miran a el hombres,no,No tree
1834,la mujeres miran a el mujer,no,No tree
1835,la mujeres miran a el mujeres,no,No tree
1836,la mujeres miran a los hombre,no,No tree
1837,la mujeres miran a los hombres,no,No tree
1838,la mujeres miran a los mujer,no,No tree
1839,la mujeres miran a los mujeres,no,No tree
1840,la mujeres miran a la hombre,no,No tree
1841,la mujeres miran a la hombres,no,No tree
1842,la mujeres miran a la mujer,no,No tree
1843,la mujeres miran a la mujeres,no,No tree
1844,la mujeres miran a las hombre,no,No tree
1845,la mujeres miran a las hombres,no,No tree
1846,la mujeres miran a las mujer,no,No tree
1847,la mujeres miran a las mujeres,no,No tree
1848,las hombre camina,no,No tree
1849,las hombre caminan,no,No tree
1850,las hombre mira a un hombre,no,No tree
1851,las hombre mira a un hombres,no,No tree
1852,las hombre mira a un mujer,no,No tree
1853,las hombre mira a un mujeres,no,No tree
1854,las hombre mira a unos hombre,no,No tree
1855,las hombre mira a unos hombres,no,No tree
1856,las hombre mira a unos mujer,no,No tree
1857,las hombre mira a unos mujeres,no,No tree
1858,las hombre mira a una hombre,no,No tree
1859,las hombre mira a una hombres,no,No tree
1860,las hombre mira a una mujer,no,No tree
1861,las hombre mira a una mujeres,no,No tree
1862,las hombre mira a unas hombre,no,No tree
1863,las hombre mira a unas hombres,no,No tree
1864,las hombre mira a unas mujer,no,No tree
1865,las hombre mira a unas mujeres,no,No tree
1866,las hombre mira a el hombre,no,No tree
1867,las hombre mira a el hombres,no,No tree
1868,las hombre mira a el mujer,no,No tree
1869,las hombre mira a el mujeres,no,No tree
1870,las hombre mira a los hombre,no,No tree
1871,las hombre mira a los hombres,no,No tree
1872,las hombre mira a los mujer,no,No tree
1873,las hombre mira a los mujeres,no,No tree
1874,las hombre mira a la hombre,no,No tree
1875,las hombre mira a la hombres,no,No tree
1876,las hombre mira a la mujer,no,No tree
1877,las hombre mira a la mujeres,no,No tree
1878,las hombre mira a las hombre,no,No tree
1879,las hombre mira a las hombres,no,No tree
1880,las hombre mira a las mujer,no,No tree
1881,las hombre mira a las mujeres,no,No tree
1882,las hombre miran a un hombre,no,No tree
1883,las hombre miran a un hombres,no,No tree
1884,las hombre miran a un mujer,no,No tree
1885,las hombre miran a un mujeres,no,No tree
1886,las hombre miran a unos hombre,no,No tree
1887,las hombre miran a unos hombres,no,No tree
1888,las hombre miran a unos mujer,no,No tree
1889,las hombre miran a unos mujeres,no,No tree
1890,las hombre miran a una hombre,no,No tree
1891,las hombre miran a una hombres,no,No tree
1892,las hombre miran a una mujer,no,No tree
1893,las hombre miran a una mujeres,no,No tree
1894,las hombre miran a unas hombre,no,No tree
1895,las hombre miran a unas hombres,no,No tree
1896,las hombre miran a unas mujer,no,No tree
1897,las hombre miran a unas mujeres,no,No tree
1898,las hombre miran a el hombre,no,No tree
1899,las hombre miran a el hombres,no,No tree
1900,las hombre miran a el mujer,no,No tree
1901,las hombre miran a el mujeres,no,No tree
1902,las hombre miran a los hombre,no,No tree
1903,las hombre miran a los hombres,no,No tree
1904,las hombre miran a los mujer,no,No tree
1905,las hombre miran a los mujeres,no,No tree
1906,las hombre miran a la hombre,no,No tree
1907,las hombre miran a la hombres,no,No tree
1908,las hombre miran a la mujer,no,No tree
1909,las hombre miran a la mujeres,no,No tree
1910,las hombre miran a las hombre,no,No tree
1911,las hombre miran a las hombres,no,No tree
1912,las hombre miran a las mujer,no,No tree
1913,las hombre miran a las mujeres,no,No tree
1914,las hombres camina,no,No tree
1915,las hombres caminan,no,No tree
1916,las hombres mira a un hombre,no,No tree
1917,las hombres mira a un hombres,no,No tree
1918,las hombres mira a un mujer,no,No tree
1919,las hombres mira a un mujeres,no,No tree
1920,las hombres mira a unos hombre,no,No tree
1921,las hombres mira a unos hombres,no,No tree
1922,las hombres mira a unos mujer,no,No tree
1923,las hombres mira a unos mujeres,no,No tree
1924,las hombres mira a una hombre,no,No tree
1925,las hombres mira a una hombres,no,No tree
1926,las hombres mira a una mujer,no,No tree
1927,las hombres mira a una mujeres,no,No tree
1928,las hombres mira a unas hombre,no,No tree
1929,las hombres mira a unas hombres,no,No tree
1930,las hombres mira a unas mujer,no,No tree
1931,las hombres mira a unas mujeres,no,No tree
1932,las hombres mira a el hombre,no,No tree
1933,las hombres mira a el hombres,no,No tree
1934,las hombres mira a el mujer,no,No tree
1935,las hombres mira a el mujeres,no,No tree
1936,las hombres mira a los hombre,no,No tree
1937,las hombres mira a los hombres,no,No tree
1938,las hombres mira a los mujer,no,No tree
1939,las hombres mira a los mujeres,no,No tree
1940,las hombres mira a la hombre,no,No tree
1941,las hombres mira a la hombres,no,No tree
1942,las hombres mira a la mujer,no,No tree
1943,las hombres mira a la mujeres,no,No tree
1944,las hombres mira a las hombre,no,No tree
1945,las hombres mira a las hombres,no,No tree
1946,las hombres mira a las mujer,no,No tree
1947,las hombres mira a las mujeres,no,No tree
1948,las hombres miran a un hombre,no,No tree
1949,las hombres miran a un hombres,no,No tree
1950,las hombres miran a un mujer,no,No tree
1951,las hombres miran a un mujeres,no,No tree
1952,las hombres miran a unos hombre,no,No tree
1953,las hombres miran a unos hombres,no,No tree
1954,las hombres miran a unos mujer,no,No tree
1955,las hombres miran a unos mujeres,no,No tree
1956,las hombres miran a una hombre,no,No tree
1957,las hombres miran a una hombres,no,No tree
1958,las hombres miran a una mujer,no,No tree
1959,las hombres miran a una mujeres,no,No tree
1960,las hombres miran a unas hombre,no,No tree
1961,las hombres miran a unas hombres,no,No tree
1962,las hombres miran a unas mujer,no,No tree
1963,las hombres miran a unas mujeres,no,No tree
1964,las hombres miran a el hombre,no,No tree
1965,las hombres miran a el hombres,no,No tree
1966,las hombres miran a el mujer,no,No tree
1967,las hombres miran a el mujeres,no,No tree
1968,las hombres miran a los hombre,no,No tree
1969,las hombres miran a los hombres,no,No tree
1970,las hombres miran a los mujer,no,No tree
1971,las hombres miran a los mujeres,no,No tree
1972,las hombres miran a la hombre,no,No tree
1973,las hombres miran a la hombres,no,No tree
1974,las hombres miran a la mujer,no,No tree
1975,las hombres miran a la mujeres,no,No tree
1976,las hombres miran a las hombre,no,No tree
1977,las hombres miran a las hombres,no,No tree
1978,las hombres miran a las mujer,no,No tree
1979,las hombres miran a las mujeres,no,No tree
1980,las mujer camina,no,No tree
1981,las mujer caminan,no,No tree
1982,las mujer mira a un hombre,no,No tree
1983,las mujer mira a un hombres,no,No tree
1984,las mujer mira a un mujer,no,No tree
1985,las mujer mira a un mujeres,no,No tree
1986,las mujer mira a unos hombre,no,No tree
1987,las mujer mira a unos hombres,no,No tree
1988,las mujer mira a unos mujer,no,No tree
1989,las mujer mira a unos mujeres,no,No tree
1990,las mujer mira a una hombre,no,No tree
1991,las mujer mira a una hombres,no,No tree
1992,las mujer mira a una mujer,no,No tree
1993,las mujer mira a una mujeres,no,No tree
1994,las mujer mira a unas hombre,no,No tree
1995,las mujer mira a unas hombres,no,No tree
1996,las mujer mira a unas mujer,no,No tree
1997,las mujer mira a unas mujeres,no,No tree
1998,las mujer mira a el hombre,no,No tree
1999,las mujer mira a el hombres,no,No tree
2000,las mujer mira a el mujer,no,No tree
2001,las mujer mira a el mujeres,no,No tree
2002,las mujer mira a los hombre,no,No tree
2003,las mujer mira a los hombres,no,No tree
2004,las mujer mira a los mujer,no,No tree
2005,las mujer mira a los mujeres,no,No tree
2006,las mujer mira a la hombre,no,No tree
2007,las mujer mira a la hombres,no,No tree
2008,las mujer mira a la mujer,no,No tree
2009,las mujer mira a la mujeres,no,No tree
2010,las mujer mira a las hombre,no,No tree
2011,las mujer mira a las hombres,no,No tree
2012,las mujer mira a las mujer,no,No tree
2013,las mujer mira a las mujeres,no,No tree
2014,las mujer miran a un hombre,no,No tree
2015,las mujer miran a un hombres,no,No tree
2016,las mujer miran a un mujer,no,No tree
2017,las mujer miran a un mujeres,no,No tree
2018,las mujer miran a unos hombre,no,No tree
2019,las mujer miran a unos hombres,no,No tree
2020,las mujer miran a unos mujer,no,No tree
2021,las mujer miran a unos mujeres,no,No tree
2022,las mujer miran a una hombre,no,No tree
2023,las mujer miran a una hombres,no,No tree
2024,las mujer miran a una mujer,no,No tree
2025,las mujer miran a una mujeres,no,No tree
2026,las mujer miran a unas hombre,no,No tree
2027,las mujer miran a unas hombres,no,No tree
2028,las mujer miran a unas mujer,no,No tree
2029,las mujer miran a unas mujeres,no,No tree
2030,las mujer miran a el hombre,no,No tree
2031,las mujer miran a el hombres,no,No tree
2032,las mujer miran a el mujer,no,No tree
2033,las mujer miran a el mujeres,no,No tree
2034,las mujer miran a los hombre,no,No tree
2035,las mujer miran a los hombres,no,No tree
2036,las mujer miran a los mujer,no,No tree
2037,las mujer miran a los mujeres,no,No tree
2038,las mujer miran a la hombre,no,No tree
2039,las mujer miran a la hombres,no,No tree
2040,las mujer miran a la mujer,no,No tree
2041,las mujer miran a la mujeres,no,No tree
2042,las mujer miran a las hombre,no,No tree
2043,las mujer miran a las hombres,no,No tree
2044,las mujer miran a las mujer,no,No tree
2045,las mujer miran a las mujeres,no,No tree
2046,las mujeres camina,no,No tree
2047,las mujeres caminan,si,-
2048,las mujeres mira a un hombre,no,No tree
2049,las mujeres mira a un hombres,no,No tree
2050,las mujeres mira a un mujer,no,No tree
2051,las mujeres mira a un mujeres,no,No tree
2052,las mujeres mira a unos hombre,no,No tree
2053,las mujeres mira a unos hombres,no,No tree
2054,las mujeres mira a unos mujer,no,No tree
2055,las mujeres mira a unos mujeres,no,No tree
2056,las mujeres mira a una hombre,no,No tree
2057,las mujeres mira a una hombres,no,No tree
2058,las mujeres mira a una mujer,no,No tree
2059,las mujeres mira a una mujeres,no,No tree
2060,las mujeres mira a unas hombre,no,No tree
2061,las mujeres mira a unas hombres,no,No tree
2062,las mujeres mira a unas mujer,no,No tree
2063,las mujeres mira a unas mujeres,no,No tree
2064,las mujeres mira a el hombre,no,No tree
2065,las mujeres mira a el hombres,no,No tree
2066,las mujeres mira a el mujer,no,No tree
2067,las mujeres mira a el mujeres,no,No tree
2068,las mujeres mira a los hombre,no,No tree
2069,las mujeres mira a los hombres,no,No tree
2070,las mujeres mira a los mujer,no,No tree
2071,las mujeres mira a los mujeres,no,No tree
2072,las mujeres mira a la hombre,no,No tree
2073,las mujeres mira a la hombres,no,No tree
2074,las mujeres mira a la mujer,no,No tree
2075,las mujeres mira a la mujeres,no,No tree
2076,las mujeres mira a las hombre,no,No tree
2077,las mujeres mira a las hombres,no,No tree
2078,las mujeres mira a las mujer,no,No tree
2079,las mujeres mira a las mujeres,no,No tree
2080,las mujeres miran a un hombre,si,-
2081,las mujeres miran a un hombres,no,No tree
2082,las mujeres miran a un mujer,no,No tree
2083,las mujeres miran a un mujeres,no,No tree
2084,las mujeres miran a unos hombre,no,No tree
2085,las mujeres miran a unos hombres,si,-
2086,las mujeres miran a unos mujer,no,No tree
2087,las mujeres miran a unos mujeres,no,No tree
2088,las mujeres miran a una hombre,no,No tree
2089,las mujeres miran a una hombres,no,No tree
2090,las mujeres miran a una mujer,si,-
2091,las mujeres miran a una mujeres,no,No tree
2092,las mujeres miran a unas hombre,no,No tree
2093,las mujeres miran a unas hombres,no,No tree
2094,las mujeres miran a unas mujer,no,No tree
2095,las mujeres miran a unas mujeres,si,-
2096,las mujeres miran a el hombre,si,-
2097,las mujeres miran a el hombres,no,No tree
2098,las mujeres miran a el mujer,no,No tree
2099,las mujeres miran a el mujeres,no,No tree
2100,las mujeres miran a los hombre,no,No tree
2101,las mujeres miran a los hombres,si,-
2102,las mujeres miran a los mujer,no,No tree
2103,las mujeres miran a los mujeres,no,No tree
2104,las mujeres miran a la hombre,no,No tree
2105,las mujeres miran a la hombres,no,No tree
2106,las mujeres miran a la mujer,si,-
2107,las mujeres miran a la mujeres,no,No tree
2108,las mujeres miran a las hombre,no,No tree
2109,las mujeres miran a las hombres,no,No tree
2110,las mujeres miran a las mujer,no,No tree
2111,las mujeres miran a las mujeres,si,-
